heading,papers
scenario: confirm end position (req5),1
proof-of-concept application of,1
scil,1
isting 6: test-case for req5,1
brazilian computer society,1
research,1
scrumontobdd: agile software,1
"development based on scrum, ontologies",1
and behaviour-driven development,1
pedro lopes de souza1*,1
", wanderley lopes de souza1",1
and luís ferreira pires2,1
individuals.,1
studies found,1
studies filtered with inclusion criteria,1
studies selected with exclusion criteria,1
may 2018,1
accessed 19 jan 2021,1
security and privacy behavior definition,1
for behavior driven development,1
threat analysis and behavior specification,1
t&c graph,1
t. okubo et al.,1
relation,1
rel,1
threat,1
ountermeasure,1
fig. 1. metamodel of t&c graph,1
behavesafe,1
skyfire: model-based testing with cucumber,1
research and development,1
medidata solutions,1
introduction and motivation,1
features: emr-related operations,1
when the user starts an emr,1
when the user terminates the emr,1
bdd methodology of cucumber,1
environment.,1
model-based testing,1
skyfire,1
a. graph coverage criteria,1
b. abstract test generation,1
transformation to cucumber features,1
given: initializewithvalidkeys,1
when: startemr,1
then: emrcreationsuccess,1
when: addvalidsteps,1
and: terminateemr,1
then: emrterminationsuccess,1
d. usage,1
given initializewithvalidkeys,1
when startemr,1
then emrcreationissuccess,1
when startuntilrunning,1
then emrisrunning,1
when addvalidsteps,1
and checkstepsuntilcomplete,1
then stepsarecompletewaiting,1
and checkuntilrunning,1
when rununtilwaiting,1
when addinvalidsteps,1
and checkuntilgettingerrors,1
then invalidsteperroroccur,1
with the .uml extension.,1
anguage,1
#files,1
#loc,1
", 910",1
total downloads: 154,1
replicated controlled experiment,1
partially replicated controlled experiment,1
daniel ryan degutis,1
yang wang,1
stefan wagner,1
uni-stuttgart.de,1
original experiment,1
stpa-bdd,1
figure 1: stpa-bdd [18],1
a semi-automated tool:,1
tests4jbehave,1
replicated experiment design,1
manual bdd,1
semi-,1
automated,1
hypothesis,1
replicated experiment operation,1
(a) automatically generated test scenarios,1
(b) automatically generated test cases,1
replicated experiment results,1
figure 3: sample results,1
table 2: descriptive statistic,1
is the confidential interval.,1
(a) nius,1
(b) lc,1
table 3: hypothesis testing,1
"(2017), 579-630.",1
a b s t r a c t,1
a r t i c l e,1
n f o,1
m. irshad et al.,1
given the initial setting,1
when some event occurs,1
then provide some outcomes,1
and customer pays the money,1
research design and execution,1
research context,1
specsb,1
teams of 24 members,1
team of 6 members,1
action taking,1
action planning,1
normalized compression similarity (ncs),1
application of ncs and sr,1
evaluating,1
similarity ratio (sr),1
specifying learning,1
-47,1
similar,1
ac,1
-35,1
-60,1
-5,1
-10,1
-23,1
-14,1
-7,1
-17,1
-12,1
-2,1
-8,1
-11,1
comparison with software practitioners,1
scenario: account creation,1
given an account called ''cash'',1
scenario: account update,1
given an account called ''credit'',1
"ncs = 0.614, sr = 0",1
scenario: account creation and update,1
re-structuring,1
scenario: payment of bills,1
and bill payment is for gas,1
and 20 sek are deducted,1
when transaction is accepted,1
then gas payments are paid,1
scenario: payment using card,1
when transaction is created,1
"ncs = 0.680, sr = 0.50",1
given transaction of payment,1
transaction of payment,1
deleting,1
"ncs = 0.752, sr = 0",1
renaming,1
scenario: view debit,1
given money exists in an account,1
then verify debit is positive number,1
then verify debit is negative number,1
"ncs = 0.780, sr = 0",1
specification suite's diversity,1
choice of compressors,1
scalability of approach,1
contribution to practice and research,1
validity threats,1
table a.8,1
nac,1
-63,1
-19,1
-18,1
-13,1
-28,1
-3,1
-37,1
-48,1
-53,1
-40,1
-44,1
-21,1
-34,1
table a.9,1
appendix. tables,1
(3) (2003) 44.,1
(2) (2004) 126-139.,1
(3) (1992) 279-301.,1
ahmet furkan oruç and tolga ovatman,1
feature: some terse yet descriptive,1
as an explicit system actor,1
want to gain some beneficial outcome,1
scenario: some determinable business,1
given some precondition,1
and some other precondition,1
when some action by the actor,1
and some other action,1
and yet another action,1
then some testable outcome is achieved,1
scenario: a different situation,1
applying bdd approach,1
to the software,1
development cycle,1
conformance and,1
performance testing of,1
web services using bdd,1
scenario: scenario explanation,1
"given {some, a} user{s} {with/out}",1
"then a {positive, negative} answer",1
results and evaluation,1
scenario: user banking operations,1
then a positive answer should return,1
miliseconds,1
is the response expected? (conformance),1
appendix a,1
january 2016).,1
onceptual background,1
user stories and scenarios,1
acceptance testing of functional requirements,1
omputational ontologies,1
a new approach for multi-artifact testing,1
step 1: definition of the ontology,1
step 2: writing testable requirements,1
step 3: adding test cases,1
"fig. 12. the ""find flights"" prototype",1
"fig. 14. the ""choose flights"" prototype",1
tool support,1
testing in the prototype level,1
fig. 17. panda screenshot,1
testing in the final ui level,1
onclusion and future works,1
maria gerliane cavalcante,1
josé iranildo sales,1
sports financing,1
the behavior driven development,1
f.  behavior driven at different phases,1
b. interactive decomposition process,1
software quality using bdd applied to,1
"a. the ""meu campeão"" software",1
junit testing framework,1
d. creating the test using jbehave,1
e. selenium software testing tool,1
paper • open access,1
you may also like,1
testing perspectives,1
perspectives,1
arlinta christy barus,1
table 1. v-model testing,1
fase,1
document,1
type test,1
manual and automation testing,1
manual testing,1
have stabil requirements;,1
be accessed by virtual user;,1
have time constraint.,1
saving cost;,1
increasing test coverage;,1
reducing  human errors in testing;,1
improving software quality.,1
software development approaches,1
figure 1. atdd model,1
figure 2. given-when-then structure,1
ost,1
time,1
building,1
post-,1
release,1
testing analysis,1
attd based analysis,1
bdd based analysis,1
figure 3. user story structure,1
table 3. login feature and skenario,1
experiment design,1
figure 6. experiments phase,1
"t. point, ""behaviout driven development"".",1
"opment, test-driven development",1
want <a feature>,1
a. design considerations,1
"function({given, when, then, and}) {",1
"function (alp, blp, callback) {",1
"function (aao,callback) {",1
"}, (err, result, name) => {",1
"k. beck, test-driven development: by example.",1
"j. f. smart, bdd in action.",1
20th annual international conference on.,1
st annual conference of,1
the european association,1
for machine translation,1
-30 may 2018,1
universitat d'alacant,1
"alacant, spain",1
edited by,1
organised by,1
research group,1
morgan o'brien,1
"mcafee, building 2000 citygate, mahon, cork",1
redits,1
jira and xray,1
gherkin,1
a feature,1
a scenario,1
a scenario outline,1
given i experience a specific state,1
and i experience another starting state,1
when i do something,1
and i do something else,1
then i will experience an outcome,1
translation quality tests,1
gherkin as,1
nstruction,1
export gherkin in xml,1
regex replaces to the imperative,1
machine translate,1
publish,1
test results (before and after),1
usability study,1
gherkin information mt optimization,1
ognitive usability,1
towards automatic scenario generation,1
from coverage information,1
daniel große3,1
a. cucumber,1
b. rspec,1
feature: submission,1
scenario: add a new submission,1
when i select the submission page,1
scenario: list all submission,1
describe submissiondatabase do,1
"context ""when first created"" do",1
"it ""is empty"" do",1
b. studied projects,1
empirical study on coverage in bdd projects,1
d. studies on tdd,1
coverage-driven scenario generation,1
a. global coverage stage,1
when /^ [new step] $/ do,1
scenario: new scenario,1
and new step,1
then assertion step,1
nit,1
given i am an,1
when i select the,1
and i submit all,1
submission,1
then i get a succesful,1
b. local coverage stage,1
"bonn, germany",1
"münster, germany",1
material -behavior-driven gui,1
alendar web application screen defini-,1
tion,1
wireframe model describing the login,1
"want to ""login to the",1
ogin,1
rules for identifiers (id) and,1
required time for creating automated,1
std,1
denomi-,1
tor df,1
ase study: banking application,1
table 4: used widgets,1
table 5: behavior-driven ui testing measures,1
total citations: 9,1
total downloads: 242,1
published: 17 june 2014,1
multimodal applications,1
university of duisburg-essen,1
multimodal and web applications,1
"eics'14, june 17-20, 2014, rome, italy",1
anguage for multimodal applications,1
marc hesenius,1
tobias griebe,1
olker gruhn,1
due.de,1
"gerlingstr. 16, 45127 essen, germany",1
machine,1
human,1
expressiveness,1
usability,1
specification language requirements,1
scenario: activation of push services,1
given my app is running,1
"then the ""gamemain"" activity should be open",1
not be visible,1
"when i touch the ""activate push"" button",1
"then the view with id ""push-ind"" should be",1
visible,1
human-readability,1
formal interaction description,1
taxonomies for multimodal interaction,1
a set of executable,1
specification language,1
anguage definition,1
"then the view with id ""push-ind"" should not",1
be visible,1
"when i perform gesture ""1f(circle_n_cw,",1
"ne_n,line_e)""",1
scenario: put that there,1
"then the ""main"" activity should be open",1
"when i perform gesture ""touch_1f(hold(",1
"object))""",1
"while i say ""put that""",1
"followed by i perform gesture ""touch_1f(",1
"hold)""",1
"while i say ""there""",1
then the object should appear at this,1
feature: google gesture search test,1
scenario: gesture test 01,1
"when i perform gesture ""1f(semicircle_s_ccw",1
",semicircle_s_cw)""",1
"followed by i perform gesture ""1f(line_n,",1
"ne_e)""",1
"followed by i perform gesture ""1f(",1
"rcle_n_cw)""",1
"then i see the text ""play store""",1
gesture search,1
onclusion & future work,1
total downloads: 645,1
published: 23 august 2021,1
mälardalen university,1
muhammad nouman zafar,1
"mälardalen university, sweden",1
wasif afzal,1
eduard enoiu,1
proposed workflow,1
phase 1,1
phase 3,1
figure 2: meta-model for gherkin-like dsl,1
sut,1
phase 2,1
generated artefact,1
figure 4: implementation of xtend generator,1
executable test script generation,1
execution of generated test scripts at,1
software-in-the-loop (sil) level,1
modelling of the sut,1
"(2020), 102509.",1
heriot-watt university,1
earning systems,1
research gateway,1
general rights,1
take down policy,1
towards accountability driven development for,1
machine learning systems ⋆,1
ml system development with add,1
the workflow of add,1
technical and accountability requirements,1
design user story scenarios,1
title: producing non-discriminatory output,1
title: proving explanations for outputs,1
"propagation. plos one 10(7), e0130140 (2015)",1
google:,1
mckinsey:,1
poster paper,1
"j ?,.ʒquƹs'r should succc'c'd/ do",1
".... c;ull""'tlb • .-",1
transition towards continuous delivery in the,1
healthcare domain,1
domain-driven,1
continuous delivery in practice,1
total downloads: 321,1
published: 29 october 2019,1
specifications wrien in concordia,1
"fonseca, rio de janeiro, rj, brazil",1
"rio de janeiro, rj, brazil",1
specifications written in concordia,1
thiago delgado pinto,1
willian inacio gonçalves,1
pablo veiga costa,1
efet-rj,1
"nova friburgo, rj, brazil",1
oncordia,1
uip generation,1
an event-b model: a research idea,1
a. event-b,1
"bdd, sbvr",1
b. bdd,1
bdd2event-b,1
given c,1
when e,1
then o,1
sbvr,1
n order to g,1
as a s,1
want to d,1
want f,1
so that b,1
discussions and ongoing work,1
"m. c. norrie, eds.",1
an observational study,1
reliable,1
coherent,1
engineering,1
| p a g e,1
scenario 1: [scenario title],1
and [some more contexts],1
when [event occurs],1
and/but [some more outcomes],1
summary of the bdre approach,1
observational study,1
a. research instruments,1
study element,1
required observation,1
b. working environment,1
a. pilot projects results,1
the product under development: revosuite,1
d. the observational study goal,1
b. questionnaire results,1
total downloads: 175,1
published: 21 june 2016,1
interaction design,1
university of malta,1
safer medical device interaction design,1
hristian colombo,1
adrian francalanza,1
abigail cauchi,1
"msida, malta",1
mark micallef,1
gordon pace,1
specification as a communication medium,1
medical device number entry systems,1
erifying the specification,1
translating tests to runtime monitors,1
runtime monitoring,1
figure 5. setting flags,1
safer asynchronous runtime monitoring using,1
the journal of systems and software,1
(compute_grade_average,1
low_perf_students),1
test-based task interfaces,1
finding step definitions,1
finding references to application code,1
finding references to views,1
filtering by file type,1
applying multiple filters,1
filtering by step type,1
project selection,1
commits.,1
collecting task data,1
task extraction,1
general exclusion criteria,1
samples,1
information collected on january 2019.,1
a platform for entrepreneurs to share,1
a platform for searching and,1
a platform for promoting the agile,1
a content management application for,1
"a privacy-aware, distributed, open",1
a tool for creating targeted campaigns,1
a template for developing applications,1
a chinese project with no,1
a timesheet system.,1
a community and curriculum for,1
a management tool based on getting,1
"tasks (24.32%), 2 projects",1
"tasks (38.23%), 3 projects",1
tasks (100%),1
tasks (82.43%),1
tasks (81%),1
tasks (63.71%),1
tasks (39.19%),1
tasks (46.65%),1
tasks (27%),1
tasks (10.80%),1
not for all tasks,1
predictive ability of testi,1
improvement in precision,1
coverage,1
coverage(t) = |dtesti(t) ∩ taski(t)|,1
|taski(t)|,1
and mvc slices,1
controllers and mvc slices,1
"(3), 308-337.",1
using behaviour-driven development with,1
"gilbert arbez, liam peyton",1
mohammad alhaj,1
keywords-,1
embedded,1
behaviour-driven,1
hardware-software,1
test-driven,1
a. hw/sw co-design architecture,1
testing approach,1
b. testing environments,1
a. testing procedures,1
behaviour specified by user story,1
d. testing scenario,1
dark start,1
actors,1
"> 0, v_min2= 216",1
e. system testing,1
pv,1
battery,1
oad,1
num_bus,1
num_chan,1
min_bus_freq,1
nominal_peak value=58,1
relay_on,1
relay_off,1
v_shutdown,1
v_min2,1
v_min1,1
v_nom,1
v_max1,1
v_max2,1
f. sw module testing,1
oad management testing,1
even,1
at t0,1
at t1,1
at t2,1
at t3,1
data analysis testing,1
g. hardware testing,1
for broadcast mechanism of visual programming,1
anguage on smartphones,1
mobile regression test automation and tools,1
regression testing,1
ucumber testing tool,1
fig. 2. the cucumber process,1
bdd for regression testing: case studies,1
authors,1
